,Aspen,longitude,lattitude
7377,1,-107.064308,39.53503397
20806,1,-107.5189919,40.36642202
19386,1,-108.578033,37.72402271
16356,1,-107.4882957,39.79541792
7864,1,-105.0166909,37.89109393
3034,1,-107.5814645,39.8194111
522,1,-106.6045696,36.10836562
3717,1,-108.1585187,38.87773695
3456,1,-108.1659826,37.56229446
3914,1,-107.4573015,40.4287628
13083,1,-105.6878285,40.05504073
10104,1,-107.6938306,39.19264024
2292,1,-106.2886055,40.44219334
20096,1,-105.9739593,40.45841342
3235,1,-107.2020809,41.19474616
12994,1,-106.2667998,38.7062255
19395,1,-106.8720741,38.31632129
1273,1,-105.6845371,42.39727119
2249,1,-107.2968645,38.06017964
4512,1,-106.3326666,36.76489253
2010,1,-107.7451804,37.69197584
4950,1,-106.2432544,36.82744052
17696,1,-105.3262735,39.29225902
519,1,-106.3162392,40.93357289
10816,1,-106.5186561,35.71326859
16332,1,-105.0381671,38.04300062
17227,1,-106.5272403,36.86534146
13282,1,-106.0092099,41.07362576
6604,1,-107.181525,41.16045826
170,1,-107.1788389,40.55753693
2947,1,-106.7896875,40.24963329
14392,1,-107.4363594,41.13246886
517,1,-105.0359574,37.41704882
3077,1,-107.4565558,38.49315961
7759,1,-104.2497944,37.02365141
12636,1,-107.0029077,37.88122072
10143,1,-106.5230732,37.23799184
18229,1,-104.6185186,37.25123638
11680,1,-106.4385067,41.41078861
18175,1,-106.5026929,37.39615001
8842,1,-106.3457162,37.41191691
5394,1,-106.9351207,37.31286622
5850,1,-107.2354084,39.78826616
11090,1,-106.9415562,40.67913241
7396,1,-107.3080394,38.00752834
11007,1,-106.4620267,41.51645975
10460,1,-107.2541223,38.55537337
4679,1,-104.5403963,37.15162958
14273,1,-106.9971524,37.83304976
11314,1,-107.2403295,39.65676741
447,1,-107.1836977,38.16224982
17950,1,-106.932691,39.33392119
13623,1,-108.134611,38.39820056
17408,1,-106.5968174,37.46338564
20362,1,-105.1725917,39.60970223
15032,1,-106.4338864,36.66775436
4699,1,-107.336245,39.43841689
2715,1,-106.3350945,38.65931926
12404,1,-106.5442833,41.48758807
7493,1,-107.1728386,41.32206528
11353,1,-105.4321564,37.52962817
15300,1,-106.6561716,38.53755912
4641,1,-105.3948087,40.06968746
14748,1,-106.0482582,38.44488936
256,1,-104.3149245,37.06687648
10741,1,-108.1128632,39.03622503
20756,1,-105.4372775,39.62435793
1610,1,-105.1608424,37.93512109
11383,1,-106.8585881,39.88207143
7872,1,-106.2540037,37.09748189
7315,1,-106.4096424,38.08865657
3899,1,-107.715012,37.82801437
548,1,-107.0013991,37.4393162
9589,1,-107.3777059,39.11398069
18377,1,-105.177566,36.62154474
19487,1,-106.1287583,40.40368037
17111,1,-106.8438723,35.92782448
5112,1,-106.6866651,36.02819109
6662,1,-107.1274963,40.32759127
12268,1,-106.2527461,39.66382073
12043,1,-105.0890464,39.29621312
17605,1,-106.4661913,37.22884929
20329,1,-106.9419293,38.55083104
12561,1,-106.6565137,39.40529269
19710,1,-108.0612626,37.44355721
8622,1,-106.1236089,41.46942801
6882,1,-107.5031998,39.00215842
19803,1,-106.0516953,38.35001961
18429,1,-108.0327279,38.95771114
10374,1,-105.8571329,40.7876051
5338,1,-107.0043534,39.22758489
12400,1,-107.8196035,39.29377331
2204,1,-104.5044669,37.06349626
14507,1,-104.9777278,37.91629685
8000,1,-107.2052423,37.2906762
7818,1,-107.4423782,38.01173978
2286,1,-106.2811967,40.1517785
13197,1,-107.7822649,39.38941121
4629,1,-106.8240606,37.42798602
12190,1,-107.0583882,39.43055825
14015,1,-105.0331636,39.19617666
11103,1,-107.2295209,39.47793653
13431,1,-106.277317,39.63298458
5631,1,-106.0306006,41.19678904
5050,1,-107.1272632,38.96718926
4197,1,-107.5491962,40.01085307
3038,1,-107.1599645,40.57585203
4091,1,-106.6742521,37.94776481
11889,1,-105.838038,42.48569185
7898,1,-105.6013574,38.09466048
4283,1,-107.3393301,40.71920414
16401,1,-106.1547981,39.76665647
6996,1,-105.085313,39.44600015
8763,1,-106.1505807,41.08481436
16615,1,-107.4626565,40.43702923
9801,1,-106.461205,37.98193779
11322,1,-107.8455472,37.42131466
10973,1,-106.3367935,36.87222712
7972,1,-107.2396244,40.99131542
11667,1,-105.5705758,40.87608493
19904,1,-108.7903497,37.85220176
7724,1,-106.544254,40.09469413
19884,1,-107.431643,38.65310378
16817,1,-107.1696995,41.2743838
6015,1,-106.0859743,40.8842884
19194,1,-107.2118138,37.385582
19254,1,-105.3337434,36.86323018
8146,1,-105.80941,40.02740166
3750,1,-104.1636472,36.88231278
5418,1,-106.7630961,36.0090886
5110,1,-105.1931408,41.21485211
15660,1,-106.8937814,36.02037657
7639,1,-106.3875835,42.72713672
21378,1,-106.7864037,37.65362542
17567,1,-107.745028,39.89563721
